序号	传输方向	时间标识	状态	报文描述	报文内容	CAN帧	
19	接收	21:59:04.391		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
20	接收	21:59:04.891		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
21	接收	21:59:05.391		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
22	接收	21:59:05.892		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
23	接收	21:59:06.391		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
24	接收	21:59:06.893		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
25	接收	21:59:07.395		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
26	接收	21:59:07.895		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
27	接收	21:59:08.401		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
28	接收	21:59:08.901		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
29	接收	21:59:09.396		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
30	接收	21:59:09.897		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
31	接收	21:59:10.398		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
32	接收	21:59:10.899		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
33	接收	21:59:11.398		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
34	接收	21:59:11.900		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
