序号	传输方向	时间标识	状态	报文描述	报文内容	CAN帧	
19	接收	22:04:56.572		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
20	接收	22:04:56.599		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
21	接收	22:04:56.623		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
22	接收	22:04:56.649		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
23	接收	22:04:56.672		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
24	接收	22:04:56.698		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
25	接收	22:04:56.723		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
26	接收	22:04:56.749		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
27	接收	22:04:56.773		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
28	接收	22:04:56.798		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
